1,Peptidoglycan synthetase ftsI,ftsI,1574687,L42023,P45059,FTSI_HAEIN,"",,,,,bacterial,Haemophilus influenzae,DB00303
3,Histidine decarboxylase,HDC,32109,X54297,P19113,DCHS_HUMAN,,HDC,HDC,HGNC:4855,00817,human,Homo sapiens,DB00114; DB00117
5,"Glutaminase liver isoform, mitochondrial",GLS2,6650606,AF110330,Q9UI32,GLSL_HUMAN,,GLS2,GLS2,HGNC:29570,05901,human,Homo sapiens,DB00142
6,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1FIE,F13A1,F13A1,HGNC:3531,00604,human,Homo sapiens,DB01839; DB02340
7,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,2NSI,NOS2A,NOS2A,HGNC:7873,01225,human,Homo sapiens,DB00125; DB00155; DB01110; DB01234; DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02462; DB02533; DB02539; DB02644; DB02692; DB03014; DB03100; DB03144; DB03271; DB03449; DB03953; DB04400; DB04534; DB06879; DB06916; DB07002; DB07003; DB07007; DB07008; DB07011; DB07029; DB07306; DB07318; DB07388; DB07389; DB07405; DB08214; DB08750; DB08814
9,Estradiol 17-beta-dehydrogenase 2,HSD17B2,306462,L11708,P37059,DHB2_HUMAN,,HSD17B2,HSD17B2,HGNC:5211,00186,human,Homo sapiens,DB00157
10,"Glycogen phosphorylase, liver form",PYGL,183353,M14636,P06737,PYGL_HUMAN,1L7X,PYGL,PYGL,HGNC:9725,01987,human,Homo sapiens,DB00114; DB00131; DB01696; DB02089; DB02320; DB02379; DB03288; DB03744; DB04522; DB07315; DB07395; DB07396; DB07968
11,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1PT9,NNT,NNT,HGNC:7863,09715,human,Homo sapiens,DB00157; DB01763; DB03461
12,Alcohol dehydrogenase class 3,ADH5,178134,M30471,P11766,ADHX_HUMAN,1MC5,ADH5,ADH5,HGNC:253,00064,human,Homo sapiens,DB00157; DB01907; DB03704; DB04153
13,"Aminomethyltransferase, mitochondrial",AMT,391721,D13811,P48728,GCST_HUMAN,,AMT,AMT,HGNC:473,01997,human,Homo sapiens,DB00116; DB00157; DB04789
